customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C00000,Male,0,No,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,18.87,98.75,No
C00001,Female,1,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),74.41,607.89,Yes
C00002,Male,0,No,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.0,461.95,No
C00003,Male,0,Yes,No,69,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,88.46,6216.07,No
C00004,Male,0,Yes,No,6,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,66.81,306.84,Yes
C00005,Female,1,Yes,No,42,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,109.14,4057.85,Yes
C00006,Male,0,Yes,Yes,10,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),60.22,585.88,No
C00007,Male,0,Yes,No,52,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),75.45,3846.62,No
C00008,Male,0,Yes,No,36,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),55.04,2358.79,No
C00009,Female,0,Yes,Yes,23,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,No,Electronic check,66.49,1696.56,No
C00010,Male,0,Yes,Yes,33,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Mailed check,65.4,2103.65,No
C00011,Male,0,Yes,No,66,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,62.47,4178.25,No
